epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8232,3.69858,6.8714,4.34524,0,0,0,0,3.75405,4.98488,4.19708,0.000117224,0.000117224,0.000117224
2,38.0258,3.33828,6.07994,3.76424,0.00767,0.09269,0.01051,0.00451,3.14814,4.63584,3.83541,0.000235556,0.000235556,0.000235556
3,54.8204,2.74935,4.67675,3.0609,0.18943,0.23982,0.07989,0.0347,2.4277,6.27173,2.97566,0.000353214,0.000353214,0.000353214
4,71.3023,2.36015,3.81418,2.58331,0.15769,0.28607,0.14167,0.0689,2.05661,3.05105,2.44501,0.000353971,0.000353971,0.000353971
5,88.1589,2.14382,3.296,2.32236,0.46853,0.26658,0.26522,0.16232,1.74365,2.38659,2.11841,0.000352961,0.000352961,0.000352961
6,105.48,1.95285,2.91974,2.09127,0.42565,0.34691,0.32322,0.21269,1.57922,2.22535,1.89908,0.000351951,0.000351951,0.000351951
7,123.898,1.78021,2.61457,1.90479,0.44727,0.42385,0.40782,0.26422,1.52831,1.92291,1.7389,0.000350941,0.000350941,0.000350941
8,141.064,1.67481,2.44982,1.80347,0.64688,0.33677,0.40465,0.2753,1.37743,1.95007,1.67098,0.000349931,0.000349931,0.000349931
9,158.332,1.62382,2.33151,1.74423,0.48786,0.471,0.47028,0.31535,1.34842,1.69378,1.62266,0.000348922,0.000348922,0.000348922
10,174.309,1.50361,2.13436,1.65487,0.54364,0.52081,0.4962,0.35073,1.24542,1.74884,1.51574,0.000347912,0.000347912,0.000347912
11,190.217,1.43559,2.00886,1.59434,0.71388,0.4623,0.53811,0.39954,1.13599,1.50453,1.44586,0.000346902,0.000346902,0.000346902
12,206.226,1.3696,1.96802,1.55625,0.60574,0.54598,0.54626,0.41099,1.1369,1.46211,1.43396,0.000345892,0.000345892,0.000345892
13,221.885,1.34501,1.92374,1.51722,0.57428,0.52664,0.5604,0.42514,1.12171,1.46578,1.40602,0.000344882,0.000344882,0.000344882
14,237.721,1.28953,1.76932,1.50463,0.58406,0.57765,0.58067,0.43664,1.0759,1.39262,1.38269,0.000343873,0.000343873,0.000343873
15,253.951,1.2716,1.75972,1.45578,0.65567,0.56996,0.60182,0.46353,1.06837,1.37326,1.35949,0.000342863,0.000342863,0.000342863
16,269.883,1.22283,1.65371,1.42943,0.6545,0.59488,0.63394,0.48104,1.10535,1.32869,1.38279,0.000341853,0.000341853,0.000341853
17,287.142,1.18809,1.63247,1.3992,0.77887,0.5468,0.63501,0.50147,0.98609,1.21922,1.29091,0.000340843,0.000340843,0.000340843
18,304.274,1.14055,1.57208,1.38814,0.62194,0.59402,0.63085,0.48348,1.0185,1.28976,1.30933,0.000339833,0.000339833,0.000339833
19,320.555,1.14615,1.51664,1.39209,0.61506,0.62931,0.65424,0.51235,0.96576,1.17443,1.27687,0.000338824,0.000338824,0.000338824
20,337.494,1.08013,1.48165,1.3294,0.69274,0.61717,0.65993,0.52652,0.94552,1.16453,1.24629,0.000337814,0.000337814,0.000337814
